1#,1Attack,1Defense,1HP,1Legendary,1SpAtk,1SpDef,1Speed,1type1,1type2,2#,2Attack,2Defense,2HP,2Legendary,2SpAtk,2SpDef,2Speed,2type1,2type2,winner
406,30,55,43,False,40,65,97,17,18,134,50,35,65,False,115,95,95,11,14,True
592,60,126,103,False,80,126,50,12,4,503,90,110,70,False,60,75,95,13,1,False
564,55,39,45,False,35,39,42,12,18,242,65,35,35,False,65,35,65,17,18,False
579,55,50,50,False,36,30,43,12,7,242,65,35,35,False,65,35,65,17,18,False
200,50,80,100,False,60,80,50,17,4,719,61,65,56,False,48,45,38,9,18,True
376,40,55,40,False,40,70,55,10,14,135,83,57,65,False,95,85,105,3,18,True
76,75,35,50,False,70,30,40,9,13,441,86,88,84,False,111,101,60,17,16,False
667,55,55,55,False,85,55,30,14,18,645,65,65,51,False,80,75,59,11,18,False
475,66,44,55,False,44,56,85,12,18,400,60,70,90,False,75,70,45,11,17,True
3,82,83,80,False,100,100,80,9,13,737,68,72,86,False,109,66,106,6,12,False
435,109,105,95,False,75,85,56,9,10,45,45,20,115,False,45,25,20,12,4,True
231,10,230,20,False,10,230,5,0,15,146,65,60,130,False,110,95,65,17,18,False
510,62,50,60,False,62,60,40,9,11,715,72,90,91,False,129,90,108,17,5,False
456,42,118,30,False,42,88,30,15,16,260,75,37,45,False,70,55,83,6,18,False
164,190,100,106,True,154,100,130,14,5,751,150,50,60,False,150,50,60,16,8,False
424,150,140,100,True,100,90,90,10,18,754,72,72,101,False,99,89,29,4,18,True
258,30,15,45,False,85,65,65,11,14,779,70,48,43,False,50,60,38,8,9,True
360,100,45,45,False,45,45,10,10,18,208,75,55,75,False,105,85,30,9,18,False
723,59,58,59,False,90,70,73,6,18,646,95,85,71,False,110,95,79,11,18,False
384,70,70,70,False,70,70,70,12,18,533,65,107,50,False,105,107,86,3,6,False
734,22,60,45,False,27,30,29,0,18,673,117,70,66,False,40,50,67,2,18,False
141,125,79,95,False,60,100,81,17,7,721,107,122,88,False,74,75,64,9,5,True
244,55,45,45,False,65,45,75,11,7,741,65,48,66,False,62,57,52,9,18,True
509,20,50,45,False,60,120,50,17,7,217,72,48,48,False,72,48,48,14,18,True
633,105,60,60,False,120,60,105,1,18,44,76,75,73,False,81,100,100,6,18,True
595,140,95,105,False,55,65,45,5,18,719,61,65,56,False,48,45,38,9,18,True
606,100,89,60,False,55,69,112,0,13,40,102,77,81,False,85,75,85,13,10,True
368,115,60,73,False,60,60,90,12,18,598,95,75,105,False,85,75,74,17,10,True
746,48,54,62,False,63,60,68,14,18,584,75,85,55,False,25,25,15,15,18,True
350,140,70,70,False,110,65,105,17,1,187,40,15,20,False,35,35,60,3,18,True
303,50,100,60,False,85,70,65,17,7,198,80,95,75,False,90,100,50,9,18,True
169,82,100,80,False,83,100,80,9,18,701,129,90,91,True,72,90,108,15,5,False
569,50,37,41,False,50,37,66,1,18,115,120,53,50,False,35,110,87,5,18,False
231,10,230,20,False,10,230,5,0,15,172,84,78,78,False,109,85,100,6,18,False
71,50,45,55,False,135,95,120,14,18,440,66,68,64,False,81,76,50,17,18,True
659,50,91,44,False,24,86,10,9,16,610,60,75,70,False,110,75,90,9,18,False
570,88,50,64,False,88,50,106,1,18,557,75,95,75,False,75,95,113,9,18,False
712,170,100,125,True,120,90,95,2,11,40,102,77,81,False,85,75,85,13,10,True
451,120,79,80,False,95,79,70,3,18,352,90,45,170,False,90,45,60,17,18,True
661,55,70,40,False,45,60,30,16,18,95,70,80,90,False,70,95,70,17,11,False
540,125,70,75,True,125,70,115,14,18,4,100,123,80,False,122,120,80,9,13,True
130,45,55,30,False,70,55,85,17,18,319,71,43,84,False,71,43,48,12,18,True
125,125,100,105,False,60,100,100,12,18,418,80,90,80,True,110,130,110,2,14,False
309,60,62,70,False,80,82,60,0,7,276,110,75,70,False,145,85,145,9,2,False
579,55,50,50,False,36,30,43,12,7,612,72,35,50,False,35,35,65,10,1,False
716,77,77,100,False,128,128,90,12,14,80,70,65,80,False,80,120,100,17,13,False
482,30,50,45,False,65,50,45,14,18,535,65,107,50,False,105,107,86,3,11,False
376,40,55,40,False,40,70,55,10,14,37,92,87,90,False,75,85,76,13,10,False
6,64,58,58,False,80,65,80,6,18,328,85,125,50,False,85,115,20,1,8,False
343,73,55,65,False,47,75,85,0,18,159,100,90,90,True,125,85,90,6,7,False
509,20,50,45,False,60,120,50,17,7,574,98,63,75,False,98,63,101,6,18,False
546,120,100,150,True,120,100,90,8,2,530,100,135,45,False,65,135,45,8,18,True
486,89,116,67,False,79,116,33,16,14,229,130,100,70,False,55,80,65,0,16,False
686,85,70,45,False,40,40,60,1,16,213,65,110,95,False,60,130,65,1,18,False
304,25,25,28,False,45,35,40,14,4,386,75,35,44,False,63,33,45,8,18,False
514,70,115,70,False,130,90,60,3,16,732,81,71,78,False,74,69,126,6,7,False
161,84,65,61,False,70,70,70,2,18,757,54,53,53,False,37,46,45,1,14,True
150,40,100,35,False,90,55,35,15,17,265,75,115,100,True,90,115,85,17,18,False
436,58,44,44,False,58,44,61,6,18,701,129,90,91,True,72,90,108,15,5,False
221,90,140,75,False,60,60,40,0,16,265,75,115,100,True,90,115,85,17,18,False
436,58,44,44,False,58,44,61,6,18,603,103,80,75,False,70,80,92,0,9,False
242,65,35,35,False,65,35,65,17,18,365,40,60,45,False,40,75,50,12,7,True
792,70,80,85,False,97,80,123,7,2,251,60,60,90,False,40,40,40,10,18,True
607,27,60,40,False,37,50,66,9,4,295,50,50,60,False,60,70,50,17,9,True
439,51,53,53,False,61,56,40,17,18,209,65,45,65,False,75,45,95,0,7,False
657,47,50,50,False,57,50,65,0,3,360,100,45,45,False,45,45,10,10,18,True
436,58,44,44,False,58,44,61,6,18,40,102,77,81,False,85,75,85,13,10,False
325,45,45,50,False,35,35,50,12,18,408,95,100,65,False,60,50,50,2,18,False
472,100,66,75,False,60,66,115,12,18,89,35,70,25,False,95,55,45,3,16,True
71,50,45,55,False,135,95,120,14,18,777,100,70,90,False,110,150,80,2,18,True
47,45,35,40,False,30,40,55,13,7,615,90,45,70,False,15,45,50,6,18,True
5,52,43,39,False,60,50,65,6,18,670,40,60,60,False,95,60,55,8,6,True
793,131,95,126,True,131,98,99,4,18,314,160,100,150,False,95,65,100,12,18,False
195,55,55,70,False,80,60,45,3,18,461,69,95,60,False,69,95,36,0,16,True
493,90,65,68,False,50,55,82,2,10,568,110,90,85,False,45,90,80,12,18,True
400,60,70,90,False,75,70,45,11,17,341,50,40,60,False,85,75,95,3,18,False
63,105,60,65,False,60,70,95,5,18,297,40,50,40,False,30,30,30,9,18,True
541,120,120,100,True,150,100,90,16,2,446,85,60,79,False,55,60,71,12,17,True
141,125,79,95,False,60,100,81,17,7,152,80,90,30,False,55,45,55,15,17,True
54,55,50,60,False,40,55,45,0,13,115,120,53,50,False,35,110,87,5,18,False
378,41,77,66,False,61,87,23,15,9,161,84,65,61,False,70,70,70,2,18,False
224,85,200,75,False,55,65,30,16,10,316,90,45,61,False,50,50,160,0,7,False
311,130,80,60,False,60,60,70,9,5,398,120,80,80,False,120,80,100,11,18,False
298,70,40,70,False,60,40,60,9,1,35,47,52,55,False,40,40,41,13,18,True
356,85,140,70,False,85,70,20,6,18,132,45,65,40,False,100,120,90,14,4,True
103,65,80,60,False,170,95,130,8,13,370,55,65,70,False,95,85,70,15,14,True
503,90,110,70,False,60,75,95,13,1,453,70,65,60,False,125,105,90,9,13,True
600,125,75,75,False,30,75,85,5,18,598,95,75,105,False,85,75,74,17,10,True
445,45,40,59,False,35,40,31,12,18,45,45,20,115,False,45,25,20,12,4,True
360,100,45,45,False,45,45,10,10,18,548,80,80,80,False,80,80,80,17,18,False
303,50,100,60,False,85,70,65,17,7,133,110,80,70,False,55,80,105,0,7,False
51,80,85,75,False,110,90,50,9,13,331,70,100,50,False,40,40,30,16,15,True
171,64,58,58,False,80,65,80,6,18,559,93,55,90,False,70,55,55,6,5,True
758,92,88,86,False,68,75,73,1,14,129,92,65,80,False,65,80,68,17,18,True
6,64,58,58,False,80,65,80,6,18,255,20,35,55,False,20,45,75,12,18,True
698,85,55,55,False,50,55,60,0,6,154,105,65,80,False,60,75,130,15,7,False
92,85,45,35,False,35,35,75,12,7,491,92,108,50,False,92,108,35,8,1,False
381,125,100,75,False,70,80,45,15,0,73,80,50,70,False,35,35,35,5,18,True
354,100,70,70,False,105,75,40,6,10,271,130,90,106,True,110,154,90,6,7,False
219,80,65,70,False,90,65,85,12,14,49,50,55,45,False,75,65,30,9,13,True
736,50,58,62,False,73,54,72,6,12,244,55,45,45,False,65,45,75,11,7,False
683,120,90,77,False,60,90,48,2,18,245,40,70,65,False,80,140,70,17,7,False
533,65,107,50,False,105,107,86,3,6,452,30,35,40,False,50,70,55,9,13,True
200,50,80,100,False,60,80,50,17,4,588,57,55,67,False,77,55,114,14,7,False
403,104,105,55,False,94,75,52,17,18,636,30,50,45,False,55,65,45,14,18,True
56,55,25,10,False,35,45,95,10,18,561,55,45,55,False,63,45,45,17,18,False
54,55,50,60,False,40,55,45,0,13,119,90,120,65,False,85,70,60,13,18,False
629,140,65,75,False,112,65,110,15,7,141,125,79,95,False,60,100,81,17,7,True
547,70,120,120,False,75,130,85,14,18,779,70,48,43,False,50,60,38,8,9,True
380,95,50,45,False,40,50,75,15,0,547,70,120,120,False,75,130,85,14,18,False
407,75,60,45,False,40,30,50,2,18,307,85,65,68,False,165,135,100,14,4,False
153,115,105,60,False,65,70,80,15,17,559,93,55,90,False,70,55,55,6,5,True
306,65,65,68,False,125,115,80,14,4,268,134,110,100,False,95,100,61,15,1,True
89,35,70,25,False,95,55,45,3,16,382,15,20,20,False,10,55,80,17,18,True
54,55,50,60,False,40,55,45,0,13,32,90,55,60,False,90,80,110,3,18,False
172,84,78,78,False,109,85,100,6,18,745,80,60,75,False,65,90,102,12,18,False
16,45,50,60,False,90,80,70,0,7,110,50,70,60,False,80,80,140,3,18,False
537,65,107,50,False,105,107,86,3,9,734,22,60,45,False,27,30,29,0,18,True
278,85,60,60,False,85,60,55,6,5,94,45,55,65,False,45,70,45,17,18,True
342,40,50,60,False,75,85,95,3,18,643,87,63,75,False,87,63,98,17,7,False
435,109,105,95,False,75,85,56,9,10,165,150,70,106,True,194,120,140,14,18,False
638,55,95,70,False,95,110,65,14,18,691,55,75,70,False,45,65,60,1,7,False
734,22,60,45,False,27,30,29,0,18,718,120,95,71,False,120,95,99,0,16,False
298,70,40,70,False,60,40,60,9,1,781,66,70,49,False,44,55,51,8,9,True
42,70,73,95,False,95,90,60,4,18,113,50,95,50,False,40,50,35,10,18,True
97,105,75,105,False,65,100,50,13,18,316,90,45,61,False,50,50,160,0,7,True
416,50,100,80,True,100,200,50,11,18,397,80,80,80,False,80,80,80,11,18,False
483,63,47,63,False,41,41,74,13,1,400,60,70,90,False,75,70,45,11,17,True
275,85,65,70,False,105,85,120,9,18,155,135,85,80,False,70,95,150,15,7,False
154,105,65,80,False,60,75,130,15,7,461,69,95,60,False,69,95,36,0,16,True
309,60,62,70,False,80,82,60,0,7,4,100,123,80,False,122,120,80,9,13,False
539,105,105,80,True,105,105,80,14,18,30,85,69,60,False,65,79,80,13,18,False
545,100,120,150,True,100,120,90,8,2,266,64,50,50,False,45,50,41,15,10,True
283,110,90,100,False,85,90,60,17,10,340,75,80,70,False,135,80,135,3,18,False
232,125,75,80,False,40,95,85,0,5,254,95,62,73,False,85,65,85,12,18,False
384,70,70,70,False,70,70,70,12,18,427,180,100,105,True,180,100,115,2,7,False
161,84,65,61,False,70,70,70,2,18,781,66,70,49,False,44,55,51,8,9,True
496,85,40,135,False,40,85,5,12,18,420,90,80,80,True,130,110,110,2,14,True
268,134,110,100,False,95,100,61,15,1,159,100,90,90,True,125,85,90,6,7,False
473,50,34,90,False,60,44,70,8,7,593,80,55,75,False,25,35,35,5,18,True
550,90,90,70,True,135,90,125,1,18,475,66,44,55,False,44,56,85,12,18,True
199,20,50,70,False,20,50,40,17,4,785,90,122,65,False,58,75,84,8,9,False
385,90,70,60,False,60,120,40,12,18,732,81,71,78,False,74,69,126,6,7,False
488,25,45,20,False,70,90,60,14,4,196,75,85,90,False,115,90,55,3,18,True
30,85,69,60,False,65,79,80,13,18,587,45,43,55,False,55,43,72,14,7,True
36,62,67,70,False,55,55,56,13,18,494,130,95,108,False,80,85,102,2,10,False
513,120,65,70,False,45,85,125,1,11,184,90,80,85,False,70,80,130,13,7,False
129,92,65,80,False,65,80,68,17,18,106,73,70,85,False,73,115,67,14,18,True
6,64,58,58,False,80,65,80,6,18,604,45,59,30,False,30,39,57,0,13,True
137,125,100,65,False,55,70,85,0,18,315,45,90,31,False,30,30,40,0,10,True
83,120,130,80,False,55,65,45,15,10,509,20,50,45,False,60,120,50,17,7,False
585,105,105,70,False,50,40,20,15,18,534,65,107,50,False,105,107,86,3,17,True
743,82,62,67,False,46,48,43,5,18,57,80,50,35,False,50,70,120,10,18,False
220,65,90,50,False,35,35,15,0,18,723,59,58,59,False,90,70,73,6,18,False
764,73,88,71,False,120,89,59,17,18,665,85,70,65,False,75,70,40,3,18,True
708,150,120,100,True,120,100,90,2,3,439,51,53,53,False,61,56,40,17,18,True
28,90,65,65,False,61,61,100,12,7,545,100,120,150,True,100,120,90,8,2,False
23,80,75,83,False,70,70,101,12,7,796,100,150,50,True,100,150,50,15,4,True
698,85,55,55,False,50,55,60,0,6,147,65,60,65,False,110,95,130,3,18,False
306,65,65,68,False,125,115,80,14,4,635,95,60,75,False,65,60,115,12,18,False
158,90,85,90,True,125,90,100,3,7,666,115,80,85,False,105,80,50,3,18,True
55,65,60,70,False,90,75,90,0,13,750,110,150,59,False,45,49,35,16,8,False
513,120,65,70,False,45,85,125,1,11,439,51,53,53,False,61,56,40,17,18,True
769,59,50,77,False,67,63,46,15,11,264,115,85,115,True,90,75,100,6,18,False
232,125,75,80,False,40,95,85,0,5,499,145,88,70,False,140,70,112,5,16,False
23,80,75,83,False,70,70,101,12,7,623,58,80,72,False,103,80,97,14,7,True
97,105,75,105,False,65,100,50,13,18,250,95,95,75,False,95,95,85,17,2,False
324,45,135,30,False,45,90,30,15,18,544,160,110,110,True,80,110,100,12,18,False
517,100,125,100,False,110,50,50,9,18,10,48,65,44,False,50,64,43,17,18,True
586,135,130,85,False,60,80,25,15,18,461,69,95,60,False,69,95,36,0,16,False
779,70,48,43,False,50,60,38,8,9,349,120,40,70,False,95,40,95,17,1,False
669,30,55,50,False,65,55,20,8,6,226,80,50,60,False,40,40,30,4,18,False
623,58,80,72,False,103,80,97,14,7,53,95,80,60,False,60,80,30,0,9,True
538,75,130,75,True,75,130,95,14,18,718,120,95,71,False,120,95,99,0,16,False
438,104,71,76,False,104,71,108,6,5,242,65,35,35,False,65,35,65,17,18,True
523,60,110,65,False,130,95,65,11,18,759,52,67,42,False,39,56,50,15,17,True
14,30,35,45,False,20,20,45,0,18,103,65,80,60,False,170,95,130,8,13,False
378,41,77,66,False,61,87,23,15,9,152,80,90,30,False,55,45,55,15,17,False
478,60,60,60,False,105,105,105,8,18,361,70,50,50,False,50,50,70,10,2,True
137,125,100,65,False,55,70,85,0,18,698,85,55,55,False,50,55,60,0,6,True
354,100,70,70,False,105,75,40,6,10,739,45,47,54,False,75,98,52,4,18,False
233,185,115,80,False,40,105,75,0,5,684,74,50,59,False,35,50,35,10,8,False
291,70,50,60,False,100,50,65,0,7,605,55,99,40,False,40,79,47,0,13,True
96,80,50,80,False,40,50,25,13,18,264,115,85,115,True,90,75,100,6,18,False
730,50,43,45,False,40,38,62,12,7,137,125,100,65,False,55,70,85,0,18,False
129,92,65,80,False,65,80,68,17,18,744,124,78,95,False,69,71,58,5,1,True
611,92,65,70,False,80,55,98,17,18,107,105,90,30,False,25,25,50,17,18,True
58,45,35,40,False,40,40,90,12,18,560,123,65,110,False,100,65,65,6,5,False
658,77,60,70,False,97,60,108,0,3,146,65,60,130,False,110,95,65,17,18,True
625,50,145,58,False,95,105,30,8,18,753,52,60,78,False,63,65,23,4,18,True
524,95,125,75,False,45,75,95,10,7,27,60,30,40,False,31,31,70,12,7,True
794,131,95,126,True,131,98,99,1,7,474,80,44,150,False,90,54,80,8,7,True
365,40,60,45,False,40,75,50,12,7,391,68,83,99,False,72,87,51,9,7,False
592,60,126,103,False,80,126,50,12,4,585,105,105,70,False,50,40,20,15,18,True
512,132,105,90,False,132,105,30,9,11,586,135,130,85,False,60,80,25,15,18,True
526,80,70,85,False,135,75,90,12,18,424,150,140,100,True,100,90,90,10,18,False
70,35,30,40,False,120,70,105,14,18,456,42,118,30,False,42,88,30,15,16,True
540,125,70,75,True,125,70,115,14,18,288,70,61,78,False,50,61,100,12,18,True
347,73,83,100,False,73,83,55,13,18,389,40,90,20,False,30,90,25,8,18,True
689,83,50,70,False,37,50,60,12,7,128,67,60,45,False,35,50,63,17,18,False
211,85,85,95,False,65,65,35,17,10,701,129,90,91,True,72,90,108,15,5,False
336,60,75,60,False,60,75,80,5,14,385,90,70,60,False,60,120,40,12,18,True
594,105,85,85,False,40,50,40,5,18,80,70,65,80,False,80,120,100,17,13,False
785,90,122,65,False,58,75,84,8,9,490,65,45,76,False,92,42,91,12,7,False
425,180,160,100,True,150,90,90,10,6,308,30,32,40,False,50,52,65,0,17,True
27,60,30,40,False,31,31,70,12,7,731,73,55,62,False,56,52,84,6,7,False
459,59,85,60,False,79,105,36,0,9,399,40,50,70,False,55,50,25,11,17,True
421,130,100,80,True,160,120,110,2,14,494,130,95,108,False,80,85,102,2,10,True
578,55,85,116,False,107,95,29,14,18,768,121,119,82,False,69,59,71,15,2,False
63,105,60,65,False,60,70,95,5,18,82,95,115,55,False,45,45,35,15,10,True
257,95,95,50,False,35,110,70,5,18,221,90,140,75,False,60,60,40,0,16,True
4,100,123,80,False,122,120,80,9,13,150,40,100,35,False,90,55,35,15,17,True
546,120,100,150,True,120,100,90,8,2,333,110,180,70,False,60,60,50,16,15,True
308,30,32,40,False,50,52,65,0,17,544,160,110,110,True,80,110,100,12,18,False
213,65,110,95,False,60,130,65,1,18,442,55,30,40,False,30,30,60,12,7,True
575,53,48,50,False,53,48,64,17,18,302,30,30,40,False,55,30,85,17,7,False
209,65,45,65,False,75,45,95,0,7,645,65,65,51,False,80,75,59,11,18,True
92,85,45,35,False,35,35,75,12,7,768,121,119,82,False,69,59,71,15,2,True
116,105,79,50,False,35,110,76,5,18,672,87,60,46,False,30,40,57,2,18,True
132,45,65,40,False,100,120,90,14,4,69,20,15,25,False,105,55,90,14,18,False
568,110,90,85,False,45,90,80,12,18,396,50,50,50,False,50,50,50,11,18,True
644,50,50,36,False,65,60,44,11,18,218,33,58,190,False,33,58,33,14,18,True
321,60,30,72,False,20,30,25,5,18,163,110,90,106,True,154,90,130,14,18,False
17,35,30,40,False,20,20,50,0,13,164,190,100,106,True,154,100,130,14,5,False
715,72,90,91,False,129,90,108,17,5,190,20,65,35,False,40,65,20,4,18,True
51,80,85,75,False,110,90,50,9,13,57,80,50,35,False,50,70,120,10,18,True
237,40,40,40,False,70,40,20,6,18,448,85,51,77,False,55,51,65,0,18,False
580,77,62,62,False,50,42,65,12,7,676,110,80,95,False,70,80,50,11,18,True
789,69,85,55,False,32,35,28,11,18,726,63,52,54,False,83,56,97,17,18,False
420,90,80,80,True,130,110,110,2,14,718,120,95,71,False,120,95,99,0,16,True
83,120,130,80,False,55,65,45,15,10,499,145,88,70,False,140,70,112,5,16,False
526,80,70,85,False,135,75,90,12,18,159,100,90,90,True,125,85,90,6,7,False
115,120,53,50,False,35,110,87,5,18,56,55,25,10,False,35,45,95,10,18,False
358,45,65,80,False,90,110,80,14,18,636,30,50,45,False,55,65,45,14,18,True
54,55,50,60,False,40,55,45,0,13,532,50,77,50,False,95,77,91,3,8,False
534,65,107,50,False,105,107,86,3,17,798,110,60,80,True,150,130,70,14,8,True
768,121,119,82,False,69,59,71,15,2,179,50,50,100,False,76,96,70,12,7,True
94,45,55,65,False,45,70,45,17,18,724,69,72,75,False,114,100,104,6,14,False
795,100,121,108,True,81,95,95,2,10,437,78,52,64,False,78,52,81,6,5,True
313,80,80,80,False,55,55,90,12,18,432,95,90,50,True,95,90,180,14,18,False
305,35,35,38,False,65,55,50,14,4,251,60,60,90,False,40,40,40,10,18,True
269,164,150,100,False,95,120,71,15,1,289,45,35,45,False,20,30,20,0,18,True
593,80,55,75,False,25,35,35,5,18,733,35,40,38,False,27,25,35,0,18,False
568,110,90,85,False,45,90,80,12,18,428,100,100,100,True,100,100,100,16,14,False
290,35,55,50,False,25,25,15,0,18,287,30,41,38,False,30,41,60,12,18,False
762,75,90,65,False,97,123,44,13,2,733,35,40,38,False,27,25,35,0,18,True
217,72,48,48,False,72,48,48,14,18,100,35,30,30,False,100,35,80,8,13,False
668,75,75,75,False,125,95,40,14,18,87,75,110,95,False,100,80,30,17,14,True
165,150,70,106,True,194,120,140,14,18,49,50,55,45,False,75,65,30,9,13,True
123,55,115,65,False,100,40,60,9,18,771,65,65,95,False,110,130,60,4,18,False
261,80,105,95,False,40,70,100,12,18,154,105,65,80,False,60,75,130,15,7,False
225,125,230,75,False,55,95,30,16,10,640,40,50,65,False,125,60,30,14,18,False
313,80,80,80,False,55,55,90,12,18,103,65,80,60,False,170,95,130,8,13,False
106,73,70,85,False,73,115,67,14,18,505,106,65,83,False,86,65,85,13,5,False
453,70,65,60,False,125,105,90,9,13,614,117,80,95,False,65,70,92,10,1,False
107,105,90,30,False,25,25,50,17,18,48,80,70,75,False,65,75,90,13,7,False
722,45,40,40,False,62,60,60,6,18,590,135,60,110,False,50,65,88,10,16,False
559,93,55,90,False,70,55,55,6,5,431,70,160,50,True,70,160,90,14,18,False
141,125,79,95,False,60,100,81,17,7,727,95,67,72,False,103,71,122,17,1,False
490,65,45,76,False,92,42,91,12,7,239,50,40,50,False,30,30,50,11,10,True
490,65,45,76,False,92,42,91,12,7,340,75,80,70,False,135,80,135,3,18,False
373,78,73,110,False,76,71,60,17,10,128,67,60,45,False,35,50,63,17,18,False
3,82,83,80,False,100,100,80,9,13,730,50,43,45,False,40,38,62,12,7,True
502,50,90,40,False,30,55,65,13,0,91,65,55,52,False,58,62,60,12,7,True
714,72,90,91,False,129,90,108,17,5,104,45,160,35,False,30,45,70,15,10,True
788,100,122,85,False,58,75,54,8,9,276,110,75,70,False,145,85,145,9,2,False
459,59,85,60,False,79,105,36,0,9,16,45,50,60,False,90,80,70,0,7,False
432,95,90,50,True,95,90,180,14,18,143,85,80,130,False,85,95,60,17,11,True
724,69,72,75,False,114,100,104,6,14,2,62,63,60,False,80,80,60,9,13,True
648,100,70,80,False,60,70,95,12,9,533,65,107,50,False,105,107,86,3,6,True
250,95,95,75,False,95,95,85,17,2,357,25,35,60,False,70,80,60,14,18,True
155,135,85,80,False,70,95,150,15,7,439,51,53,53,False,61,56,40,17,18,True
447,25,41,37,False,25,41,25,0,18,20,150,40,65,False,15,80,145,0,13,False
366,70,90,75,False,70,105,80,2,7,371,95,85,70,False,55,65,70,15,14,True
337,100,85,60,False,80,85,100,5,14,770,77,72,123,False,99,92,58,15,11,True
358,45,65,80,False,90,110,80,14,18,765,38,33,44,False,61,43,70,3,12,True
198,80,95,75,False,90,100,50,9,18,110,50,70,60,False,80,80,140,3,18,True
152,80,90,30,False,55,45,55,15,17,760,105,115,72,False,54,86,68,15,17,False
164,190,100,106,True,154,100,130,14,5,577,25,45,76,False,67,55,24,14,18,True
174,80,80,65,False,59,63,58,17,18,646,95,85,71,False,110,95,79,11,18,False
438,104,71,76,False,104,71,108,6,5,59,70,60,65,False,65,65,115,12,18,False
614,117,80,95,False,65,70,92,10,1,443,75,50,55,False,40,40,80,12,7,True
789,69,85,55,False,32,35,28,11,18,127,65,95,55,False,95,45,85,17,18,False
504,61,40,48,False,61,40,50,13,5,421,130,100,80,True,160,120,110,2,14,False
565,85,69,60,False,60,69,77,12,18,214,85,42,60,False,85,42,91,1,7,False
158,90,85,90,True,125,90,100,3,7,635,95,60,75,False,65,60,115,12,18,False
386,75,35,44,False,63,33,45,8,18,21,45,40,40,False,35,35,56,12,7,False
408,95,100,65,False,60,50,50,2,18,404,84,105,55,False,114,75,52,17,18,False
349,120,40,70,False,95,40,95,17,1,440,66,68,64,False,81,76,50,17,18,True
410,145,130,95,False,120,90,120,2,7,295,50,50,60,False,60,70,50,17,9,True
83,120,130,80,False,55,65,45,15,10,569,50,37,41,False,50,37,66,1,18,False
